설치장소(도로명),경도,위도
서대문구 연희로41나길5-8,126.9334104,37.5921291
서대문구 연희로41가길6,126.9350478,37.5900535
서대문구 연희로41가길93,126.9334303,37.5931114
서대문구 연희로41나길36,126.9339515,37.5930891
서대문구 연희로41나길16-2,126.934419,37.5920661
서대문구 연희로41길102,126.9346873,37.5931047
서대문구 연희로41길137,126.9341107,37.5946313
서대문구 연희로41라길5,126.9337371,37.5954208
서대문구 연희로41라길30,126.9330029,37.5944951
서대문구 연희로41가길103-13,126.9336923,37.5937985
서대문구 연희로41길51,126.9350138,37.5908551
서대문구 연희로41길35,126.9352603,37.5902446
서대문구 연희로39길12,126.934223,37.5867573
서대문구 연희로39길26-4,126.9342382,37.58728
서대문구 연희로39길40,126.9332874,37.5872534
서대문구 연희로39길48-1,126.9329468,37.5873224
서대문구 연희로39길56,126.9325397,37.5872827
서대문구 연희로39길54,126.9328211,37.5874024
서대문구 연희로39길63,126.9326604,37.5867612
서대문구 연희로39가길23-4,126.9322419,37.5875233
서대문구 연희로39길98 앞,126.9315706,37.5861656
서대문구 연희로39마길6,126.9308466,37.586916
서대문구 연희로39길141 앞,126.9304512,37.5876422
서대문구 연희로39길47-18,126.9327667,37.5864558
서대문구 연희로37길97,126.9344586,37.5861107
서대문구 연희로37길71,126.9346324,37.58504
서대문구 연희로37길83-5,126.9342824,37.5857667
서대문구 연희로37안길9-8 앞,126.9347132,37.5841397
서대문구 연희로37안길19-22,126.9351444,37.5832786
서대문구 연희로37안길19-14,126.9346756,37.5835987
서대문구 연희로37안길14-3,126.9344025,37.5844883
서대문구 연희로37길77-23,126.9334423,37.5859213
서대문구 연희로37길7,126.9357246,37.5822837
서대문구 모래내로17길80-1,126.9354545,37.5821731
서대문구 모래내로17길67,126.9347904,37.5818968
서대문구 모래내로17길61,126.9344984,37.581732
서대문구 모래내로17길53-3,126.9340282,37.5813583
서대문구 모래내로17길42,126.9338529,37.5809513
서대문구 백련사길28-8,126.9330802,37.5811516
서대문구 모래내로17안길40,126.932248,37.5815495
서대문구 모래내로17안길20,126.9333401,37.5819738
서대문구 모래내로17길29-10 앞,126.9329583,37.5809612
서대문구 모래내로17길21,126.9327274,37.5804816
서대문구 모래내로342-12,126.9350408,37.5802142
서대문구 연희로261-60,126.932882,37.5791675
서대문구 명지길6-8 앞,126.9308019,37.5789595
서대문구 명지길30,126.9300343,37.5795922
서대문구 명지길16,126.9305293,37.5790201
서대문구 명지길61,126.9287524,37.5805627
서대문구 명지길89,126.9277304,37.5815626
서대문구 명지길97,126.9274543,37.5818664
서대문구 가좌로100-21,126.9269183,37.5821409
서대문구 명지길137,126.9261202,37.583314
서대문구 명지길114 앞,126.9271736,37.5824946
서대문구 명지길130-10 앞,126.9271307,37.5831159
서대문구 가좌로2안길29,126.9261352,37.5846386
서대문구 가좌로2안길37-2,126.9264807,37.5850202
서대문구 가좌로2안길44-1 앞,126.9267852,37.5851041
서대문구 가좌로2안길7,126.9258788,37.5851409
서대문구 가좌로 2길 31,126.9251834,37.5854769
서대문구 가좌로 2길 26-11,126.9250475,37.5854757
서대문구 가좌로 2길 26-10,126.9247755,37.5854912
서대문구 가좌로 2길 50,126.9261873,37.5857384
서대문구 백련사길179,126.9272736,37.5857843
서대문구 가좌로2길23 앞,126.9246409,37.5854089
서대문구 가좌로4길9,126.9236764,37.5855533
서대문구 백련사길 187,126.927055,37.5860256
서대문구 가좌로2길5,126.9236909,37.5853282
서대문구 가재울로12,126.9227006,37.5739121
서대문구 가재울로2안길29-8,126.9240526,37.5751498
서대문구 가재울로2안길33,126.9243705,37.5750807
서대문구 가재울로4길36,126.9237661,37.5753905
서대문구 가재울로4길6,126.9225916,37.5744067
서대문구 가재울로10길34,126.9227402,37.5766606
서대문구 가재울로10길22,126.9222941,37.576197
서대문구 가재울로6길53-13,126.9234935,37.576235
서대문구 가재울로80,126.9204809,37.5763246
서대문구 가재울로12길24,126.9219372,37.5766082
서대문구 가재울로12길29,126.9220473,37.5768255
서대문구 증가로10길4 앞,126.923076,37.5777179
서대문구 증가로10길 74,126.9258198,37.5797972
서대문구 증가로10길 82-3,126.9262915,37.5800628
서대문구 증가로10길89,126.9264109,37.5804153
서대문구 증가로10길96-10,126.9270703,37.5802231
서대문구 가좌로79,126.9280233,37.5800876
서대문구 증가로8길 82-17,126.9282387,37.5792786
서대문구 가좌로65,126.9289666,37.5790419
서대문구 증가로6길82,126.9285397,37.5788128
서대문구 증가로4길83-2,126.9294171,37.5784153
서대문구 가좌로55 앞,126.9297224,37.5784451
서대문구 증가로4길74,126.9289101,37.5782485
서대문구 증가로64-5,126.9275118,37.5739109
서대문구 증가로6길50-15,126.9274542,37.5779289
서대문구 증가로8길56-7,126.9267271,37.5788954
서대문구 증가로8길70,126.9270138,37.5794297
서대문구 증가로8길70,126.9270138,37.5794297
서대문구 증가로8길76-15,126.9277656,37.5791121
서대문구 증가로4길38-16앞,126.9275045,37.5767941
서대문구 증가로4길39,126.9272222,37.5775304
서대문구 증가로4길26-65,126.9272675,37.5767379
서대문구 증가로8길47,126.9258439,37.5789054
서대문구 증가로10길60-23,126.9256286,37.5789215
서대문구 증가로10길48-5,126.9249365,37.5790233
서대문구 거북골로12-29,126.9251991,37.5812332
서대문구 거북골로8-15,126.925421,37.5815506
서대문구 명지대2길28,126.9254649,37.582434
서대문구 명지대2안길46,126.9241086,37.5838453
서대문구 명지대2안길46,126.9241086,37.5838453
서대문구 명지대2안길26,126.9245509,37.5830024
서대문구 명지대2안길17앞,126.9244768,37.5826503
서대문구 증가로4길26-2,126.9265056,37.5769742
서대문구 증가로108,126.925469,37.5766314
서대문구 증가로6길18-16,126.9258942,37.5769777
서대문구 증가로8길32,126.9251821,37.5784759
서대문구 명지대1길6,126.9245415,37.5812993
서대문구 명지대1길14,126.9241346,37.5812506
서대문구 명지대길50-4,126.9239922,37.5824927
서대문구 명지대5길1,126.9232724,37.5829456
서대문구 명지대5길10-20,126.9227518,37.5837158
서대문구 명지대2안길39,126.924034,37.5835202
서대문구 명지대1가길14,126.9230008,37.5813664
서대문구 명지대1가길23,126.9224835,37.5811184
서대문구 명지대1나길5,126.9228239,37.5810674
서대문구 명지대1나길28-1,126.9214244,37.5807663
서대문구 명지대3길47-10,126.9212693,37.5813145
서대문구 명지대3길47-6,126.921142,37.5815026
서대문구 연세로2다길 74,126.9417775,37.557785
서대문구 연세로2길 73-4,126.9409036,37.5571554
서대문구 이화여대2나길 23,126.946442,37.5584934
서대문구 이화여대8길 36,126.9477978,37.5586587
서대문구 성산로24길 1-20,126.9480784,37.5676806
서대문구 성산로 573-58,126.9475956,37.5682079
서대문구 성산로 573,126.9469422,37.5671839
서대문구 봉원사길 13,126.9463642,37.5672328
서대문구 봉원사길 31,126.9460592,37.5679869
서대문구 봉원사길 45,126.9458467,37.5686067
서대문구 봉원사길 41-5,126.9456223,37.5684696
서대문구 연대동문1길 73,126.9439381,37.5698962
서대문구 연대동문1길 31,126.9449898,37.5683648
서대문구 연대동문길 128,126.9459186,37.5675261
서대문구 연대동문길 128,126.9459186,37.5675261
서대문구 성산로 567-8,126.9462924,37.5667005
서대문구 성산로 559,126.9462105,37.5660871
서대문구 연대동문길 29,126.9438414,37.5639215
서대문구 신촌역로 22-5,126.9430407,37.5589045
서대문구 신촌역로 22-5,126.9430407,37.5589045
서대문구 이화여대5길 35,126.9437647,37.5581271
서대문구 이화여대5길 35,126.9437647,37.5581271
서대문구 이화여대1안길 22,126.9439519,37.5576963
서대문구 이화여대1길 33,126.9438354,37.5571276
서대문구 이화여대3길 6,126.9454067,37.5580697
서대문구 이화여대3길 6,126.9454067,37.5580697
서대문구 이화여대 2나길 5,126.946522,37.5576292
서대문구 홍제천로174-8,126.9328086,37.5779685
서대문구 홍연6길 56,126.933072,37.5769617
서대문구 연희로33나길 20,126.9331339,37.5773857
서대문구 연희로 233,126.9352988,37.578
서대문구 가좌로 16-30,126.9339993,37.5770331
서대문구 홍연길 101,126.9318563,37.5772661
서대문구 홍연길 77,126.9305748,37.5766327
서대문구 홍연길 16,126.9280181,37.5749246
서대문구 증가로2길 74,126.9281019,37.5738171
서대문구 증가로2길 52,126.9289961,37.5730323
서대문구 증가로 71,126.9275118,37.5739109
서대문구 홍제천로 94,126.9250561,37.5738525
서대문구 홍제천로 40,126.9207684,37.5705246
서대문구 연희로15길 104,126.9283933,37.5716483
서대문구 홍제천로 34-2,126.9201415,37.5700323
서대문구 연희로10가길 51-16,126.9311345,37.5644018
서대문구 홍제천로2길 101,126.9232515,37.5718177
서대문구 홍제천로 54-57,126.9233161,37.5704758
서대문구 홍제천로 16-24,126.919388,37.5689081
서대문구 성산로7안길 51,126.9220608,37.5672476
서대문구 성산로7안길 25,126.9206643,37.5675412
서대문구 성산로7길 11,126.9191755,37.5679511
서대문구 연희로5길 98,126.9239329,37.5661565
서대문구 연희로5길 52,126.9263331,37.5653313
서대문구 연희로5길 16-13,126.9281997,37.5646185
서대문구 연희로11가길 5,126.9294568,37.5677384
서대문구 연희로11길 42,126.9295378,37.5684059
서대문구 연희로25길 26,126.934054,37.5724023
서대문구 연희로 193-7,126.9350247,37.5741951
서대문구 연희로29길 42,126.9332586,37.5741972
서대문구 연희로29길 5,126.9350734,37.5747452
서대문구 연희로26나길 21,126.9367639,37.5736882
서대문구 연희로24길 9-2,126.9355838,37.5714971
서대문구 연희로22길 34-8,126.9351876,37.5691148
서대문구 연희로20길 17,126.934501,37.5696312
서대문구 연희로16길 26-1,126.9333604,37.5678549
서대문구 연희로18길 40,126.9339372,37.5678871
서대문구 연희로18길 35-4,126.9342382,37.5682142
서대문구 연희로14길 40,126.9334619,37.5670899
